Interface,Source,Speed (MB/s)
eth0,Kernel.org CentOS,0
eth0,Arizona Ubuntu,0
eth0,MIT Debian,0
eth0,Fedora Official,0
eth0,Berkeley Arch,0
eth1,Kernel.org CentOS,0
eth1,Arizona Ubuntu,0
eth1,MIT Debian,0
eth1,Fedora Official,0
eth1,Berkeley Arch,0
eth2,Kernel.org CentOS,0
eth2,Arizona Ubuntu,0
eth2,MIT Debian,0
eth2,Fedora Official,0
eth2,Berkeley Arch,0
eth3,Kernel.org CentOS,0
eth3,Arizona Ubuntu,0
eth3,MIT Debian,0
eth3,Fedora Official,0
eth3,Berkeley Arch,0
eth4,Kernel.org CentOS,0
eth4,Arizona Ubuntu,0
eth4,MIT Debian,0
eth4,Fedora Official,0
eth4,Berkeley Arch,0
eth5,Kernel.org CentOS,0
eth5,Arizona Ubuntu,0
eth5,MIT Debian,0
eth5,Fedora Official,0
eth5,Berkeley Arch,0
eth6,Kernel.org CentOS,0
eth6,Arizona Ubuntu,0
eth6,MIT Debian,0
eth6,Fedora Official,0
eth6,Berkeley Arch,0
eth7,Kernel.org CentOS,0
eth7,Arizona Ubuntu,0
eth7,MIT Debian,0
eth7,Fedora Official,0
eth7,Berkeley Arch,0
